序号,实质性★,重要▲,参数摘要,响应结论,响应说明
507,,,支持先开具处方/医嘱、传入带紧急标记的处方/医嘱、特殊给药途径/给药频率处方/医嘱的优先审核；,部分响应,平台当前门诊审方工作台待审队列按处方开立先后顺序排列。本条所述紧急标记处方/医嘱、特殊给药途径或给药频率处方/医嘱的优先审核尚未提供，列入后续开发计划。
508,,,支持审方药师选择多张处方/医嘱，批量审核通过；,部分响应,平台当前门诊审方工作台支持逐条审核通过或拒绝。本条所述多选处方/医嘱批量审核通过的功能尚未提供，列入后续开发计划。
509,,,支持审方药师在审核处方/医嘱时，对系统根据处方/医嘱跑出的警示信息内容进行确认，并支持人工输入审核意见及用药建议；人工输入时支持一键复制药品名称；,部分响应,平台已提供：门诊审方工作台拒绝处方时可人工输入审核意见并记录。尚未提供：①系统自动审查警示信息的确认（警示信息尚未形成记录）；②审核通过时录入审核意见；③用药建议录入；④人工输入时一键复制药品名称。上述缺项列入后续开发计划。
510,,,对于人工输入的内容，支持药师自定义审核意见模板，便于药师在审核时进行选择及快速回复；,部分响应,平台当前门诊审方工作台支持人工输入审核意见，病历模板功能仅用于医生站病历书写。本条所述药师自定义审核意见模板及审核时快速选择回复的功能尚未提供，列入后续开发计划。
511,,,支持审方药师根据问题的严重程度选择是否强制要求医生修改处方/医嘱；,部分响应,平台当前门诊审方结论为通过或拒绝两种，拒绝后该药品作废。本条所述审方药师根据问题严重程度选择是否强制要求医生修改处方/医嘱的功能尚未提供，处方退回医生待修改的流转环节亦尚未建立，列入后续开发计划。
512,,,支持待审处方/医嘱超过规定时间，自动超时通过，并支持用户自定义超时时间；,部分响应,平台当前提供门诊审方工作台基础能力及待审列表上限参数。本条所述待审处方/医嘱超过规定时间自动超时通过及用户自定义超时时长的功能尚未提供，列入后续开发计划。
513,,,支持页面展示审方倒计时，并支持设置是否突出展示；,部分响应,平台当前门诊审方工作台未提供超时机制。本条所述审方倒计时页面展示及是否突出展示的设置尚未提供，列入后续开发计划。
514,,,支持处方/医嘱打回后，当医生超过一定时间未处理时提示给药师，且可以对医生超时未处理的时间进行设置；,部分响应,平台当前门诊审方拒绝后该药品直接作废，无医生待处理环节。本条所述处方/医嘱打回后医生超时未处理时提示药师，以及医生超时时长设置的功能尚未提供，列入后续开发计划。
515,,,支持处方/医嘱打回后，当医生对打回的处方/医嘱进行双签后，在药师界面显示双签理由并通过任务；,部分响应,平台当前提供门诊审方工作台基础能力（通过、拒绝并记录原因）。本条所述处方/医嘱打回后医生双签、药师界面显示双签理由并自动通过任务的流转尚未提供，列入后续开发计划。
516,,,支持处方/医嘱打回后，当医生跟药师沟通后，且审方药师认同医生的用药方案时，支持审方药师修改处方/医嘱的审核结果，将打回的审核结果修改为通过并支持输入通过理由；,部分响应,平台当前门诊审方结论一经作出即为终态，拒绝后该药品作废。本条所述药师与医生沟通后将打回结果修改为通过并录入通过理由的功能尚未提供，列入后续开发计划。
517,,,支持处方/医嘱的收藏，并可设置收藏分类，用于经典案例回顾等；,部分响应,本条所述处方/医嘱收藏及收藏分类（用于经典案例回顾）功能当前版本未提供，列入后续开发计划。
518,,,"支持在处方/医嘱审核任务上添加备注信息用于审方过程的记录，如""跟医生沟通需要审核通过""等；",部分响应,平台当前门诊审方工作台仅在拒绝时记录拒绝原因。本条所述在审核任务上随时添加审方过程备注（如「跟医生沟通需要审核通过」等）并查看备注记录的功能尚未提供，列入后续开发计划。
519,,,支持在药房发药或后续执行时，根据返回的重要警示信息，对自动通过或超时通过的医嘱，进行再次审核；,部分响应,平台当前提供门诊药房发药基础能力及门诊审方工作台。本条所述在药房发药或后续执行环节根据重要警示信息对自动通过、超时通过医嘱进行再次审核的功能尚未提供，自动通过与超时通过机制亦尚未建立，列入后续开发计划。
520,,,支持定时对住院患者当前所有有效医嘱进行合并审查，对存在超用药疗程或因检验指标、生命体征、诊断、手术等信息发生变化，而产生新的用药问题时，提示药师关注处理。 审查结果查看,部分响应,平台当前住院医生站提供长期医嘱按频次自动生成执行单的定时处理能力，住院审方尚未提供。本条所述定时对住院患者当前有效医嘱进行合并审查，并在超疗程或检验、生命体征、诊断、手术变化产生新用药问题时提示药师的功能尚未提供，列入后续开发计划。
521,,,支持查看进入审方系统的全部处方或医嘱，包括人工审核通过及打回的处方/医嘱、系统自动通过、超时通过的处方/医嘱；,部分响应,平台当前门诊审方工作台仅展示在途待审队列。本条所述查看进入审方系统的全部处方/医嘱（含人工通过、打回、系统自动通过、超时通过）的功能尚未提供，列入后续开发计划。
522,,,支持处方/医嘱审核历史的查看和导出，包括审方药师审核意见及医生处理结果；,部分响应,平台当前门诊审方工作台记录审核状态与审核意见，但未提供查询出口。本条所述审核历史查看与导出（含药师审核意见及医生处理结果）尚未提供，列入后续开发计划。
523,,,支持按日期、科室、警示类型、药品分类、药品名称、审方药师、审核状态、处方号、患者号、给药途径、给药频率、给药剂量、药品属性等条件筛选处方/医嘱；,部分响应,平台当前门诊审方工作台以列表展示全部待审处方药品，无筛选条件。本条所述按日期、科室、警示类型、药品分类、药品名称、审方药师、审核状态、处方号、患者号、给药途径、给药频率、给药剂量、药品属性等条件筛选处方/医嘱的功能尚未提供，列入后续开发计划。
524,,,支持药师已收藏案例的筛选查看；,配套产品响应,【二级证据评审建议，待项目组签字】处方点评软件参数；平台审方工作台（reviewStatus 状态机）已备基础
525,,,支持用户自定义设置列表页面展示字段。 审方质量评价,部分响应,平台当前审方列表页展示字段为固定配置。本条所述用户自定义设置列表页展示字段的功能尚未提供，列入后续开发计划。
